Slot,Time1,Time2
A1,Monday 0800-0850,Wednesday 0900-0950
TA1,Friday 1000-1050,
TAA1,Tuesday 1200-1250,
B1,Tuesday 0800-0850,Thursday 0900-0950
TB1,Monday 1100-1150,
C1,Wednesday 0800-0850,Friday 0900-0950
TC1,Tuesday 1100-1150,
TCC1,Thursday 1200-1250,
D1,Thursday 0800-0850,Monday 1000-1050
TD1,Friday 1200-1250,
E1,Friday 0800-0850,Tuesday 1000-1050
TE1,Thursday 1100-1150,
F1,Monday 0900-0950,Wednesday 1000-1050
TF1,Friday 1100-1150,
G1,Tuesday 0900-0950,Thursday 1000-1050
TG1,Monday 1200-1250,
A2,Monday 1400-1450,Wednesday 1500-1550
F2,Monday 1500-1550,Wednesday 1600-1650
D2,Monday 1600-1650,Thursday 1400-1450
TB2,Monday 1700-1750,
TG2,Monday 1800-1850,
B2,Tuesday 1400-1450,Thursday 1500-1550
G2,Tuesday 1500-1550,Thursday 1600-1650
E2,Tuesday 1600-1650,Friday 1400-1450
TC2,Tuesday 1700-1750,
TAA2,Tuesday 1800-1850,
C2,Wednesday 1400-1450,Friday 1500-1550
TD2,Wednesday 1700-1750,
TBB2,Wednesday 1800-1850,
TE2,Thursday 1700-1750,
TCC2,Thursday 1800-1850,
TA2,Friday 1600-1650,
TF2,Friday 1700-1750,
TDD2,Friday 1800-1850,
L1+L2,Monday 0800-0940,
L3+L4,Monday 0950-1130,
L5+L6,Monday 1140-1230,
L7+L8,Tuesday 0800-0940,
L9+L10,Tuesday 0950-1130,
L11+L12,Tuesday 1140-1230,
L13+L14,Wednesday 0800-0940,
L15+L16,Wednesday 0950-1130,
L17+L18,Wednesday 1140-1230,
L19+L20,Thursday 0800-0940,
L21+L22,Thursday 0950-1130,
L23+L24,Thursday 1140-1230,
L25+L26,Friday 0800-0940,
L27+L28,Friday 0950-1130,
L29+L30,Friday 1140-1230,
L31+L32,Monday 1400-1540,
L33+L34,Monday 1550-1730,
L35+L36,Monday 1830-1920,
L37+L38,Tuesday 1400-1540,
L39+L40,Tuesday 1550-1730,
L41+L42,Tuesday 1800-1920,
L43+L44,Wednesday 1400-1540,
L45+L46,Wednesday 1550-1730,
L47+L48,Wednesday 1740-1920,
L49+L50,Thursday 1400-1540,
L51+L52,Thursday 1550-1730,
L53+L54,Thursday 1740-1920,
L55+L56,Friday 1400-1540,
L57+L58,Friday 1550-1730,
L59+L60,Friday 1740-1920,
V1,Wednesday 1100-1150,
